ts,open,high,low,close,volume,EMA50,EMA200,RSI,ATR,EMA50_slope,Signal,Score,Position,Returns,Equity
2025-08-29 09:45:00+00:00,109822.57,109924.39,109772.71,109772.71,98.21168,111079.43294063088,112028.83777305983,24.006692646560595,318.14928571428544,-53.33563022983435,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 10:00:00+00:00,109772.71,109989.39,109750.0,109840.09,115.73532,111030.83125668457,112007.05918825328,17.798396334478255,314.0042857142856,-48.60168394631182,HOLD,-0.2,0.0,0.0,100.02261883880509
2025-08-29 10:15:00+00:00,109840.1,110017.52,109786.19,109935.94,101.08476,110987.89434465773,111986.45103712638,20.072262640392992,320.45142857142906,-42.9369120268384,HOLD,-0.2,0.0,0.0,100.02261883880509
2025-08-29 10:30:00+00:00,109935.93,110016.81,109852.63,110000.8,96.86055,110949.1847625143,111966.69331536393,32.72380952380945,279.7178571428573,-38.70958214343409,HOLD,-0.2,0.0,0.0,100.02261883880509
2025-08-29 10:45:00+00:00,110000.8,110028.0,109852.64,110008.01,100.49526,110912.27594829805,111947.20392914141,44.35099927865203,255.00142857142887,-36.9088142162509,SELL,-0.6000000000000001,0.0,0.0,100.02261883880509
2025-08-29 11:00:00+00:00,110008.0,110161.93,109915.0,110126.01,163.2703,110881.44198954126,111929.08259651314,52.659224673659224,253.1007142857135,-30.833958756789798,SELL,-0.6000000000000001,-1.0,-0.0010726491643653357,100.02154618964073
2025-08-29 11:15:00+00:00,110126.0,110133.1,110018.36,110051.82,112.24658,110848.90779387298,111910.4033666971,51.29886769487032,241.24571428571446,-32.53419566828234,SELL,-0.6000000000000001,-1.0,0.0006736828111723048,100.0222198724519
2025-08-29 11:30:00+00:00,110051.82,110058.14,109835.29,109900.9,112.2433,110811.73101764267,111890.408308322,44.44395652651214,234.28571428571428,-37.17677623030613,SELL,-0.6000000000000001,-1.0,0.0013713539676127873,100.02359122641951
2025-08-29 11:45:00+00:00,109900.9,110098.82,109900.9,110098.81,70.81736,110783.7733306763,111872.58145948299,52.23153469906727,229.3521428571434,-27.95768696637242,SELL,-0.6000000000000001,-1.0,-0.0018008041790376073,100.02179042224047
2025-08-29 12:00:00+00:00,110098.81,110271.15,110070.73,110271.14,109.834,110763.67006280665,111856.64671859262,62.365618839202156,211.92071428571424,-20.103267869650153,SELL,-0.6000000000000001,-1.0,-0.0015652303598920891,100.02022519188058
