EMA_SHORT,EMA_LONG,RSI_OVERSOLD,RSI_OVERBOUGHT,ATR_MULT,WEIGHT_EMA,WEIGHT_RSI,WEIGHT_ATR,n_trades,win_rate,total_pnl,avg_pnl,final_balance
100,300,35,70,1.5,0.5,0.5,0.1,3019.0,0.4958595561444187,0.17139200022810575,1.9837037063438164e-05,100.17139200022811
100,300,35,70,1.5,0.5,0.5,0.2,3019.0,0.4958595561444187,0.17139200022810575,1.9837037063438164e-05,100.17139200022811
100,300,35,70,2.0,0.5,0.4,0.2,3019.0,0.4958595561444187,0.17139200022810575,1.9837037063438164e-05,100.17139200022811
100,300,35,70,2.5,0.5,0.5,0.1,3019.0,0.4958595561444187,0.17139200022810575,1.9837037063438164e-05,100.17139200022811
100,300,35,70,2.5,0.5,0.5,0.2,3019.0,0.4958595561444187,0.17139200022810575,1.9837037063438164e-05,100.17139200022811
100,300,35,70,2.5,0.5,0.5,0.3,3019.0,0.4958595561444187,0.17139200022810575,1.9837037063438164e-05,100.17139200022811
75,300,35,60,2.5,0.5,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.0,0.3,0.5,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,1.5,0.3,0.5,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.5,0.3,0.5,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,1.5,0.3,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.5,0.4,0.4,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,1.5,0.4,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,1.5,0.4,0.4,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.5,0.4,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.5,0.3,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.0,0.3,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.0,0.3,0.4,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,1.5,0.5,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.0,0.5,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.0,0.4,0.3,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.5,0.3,0.4,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,1.5,0.3,0.4,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
75,300,35,60,2.0,0.4,0.4,0.3,3314.0,0.5024140012070006,0.16781975674137284,1.942358295617741e-05,100.16781975674137
100,200,35,70,1.5,0.4,0.4,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,1.5,0.3,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
